Designator,Mid X,Mid Y,Rotation,Layer
C1,116.0,-56.5,180.0,top
C2,102.0,-70.5,270.0,top
C3,99.0,-64.5,180.0,top
C4,97.5,-80.0,180.0,top
C5,103.75,-90.5,90.0,top
D1,109.5,-56.5,270.0,top
D2,97.5,-77.0,180.0,top
D3,103.75,-96.0,270.0,top
D4,119.0,-96.0,270.0,top
H1,86.0,-56.5,0.0,top
H2,86.0,-95.5,0.0,top
H3,124.5,-56.5,0.0,top
H4,124.5,-95.5,0.0,top
J1,89.04,-67.645,90.0,top
J2,89.06,-83.5,90.0,top
J3,116.0,-87.2075,0.0,top
J4,116.0,-79.2075,0.0,top
J5,116.0,-71.2075,0.0,top
J6,116.0,-62.7075,0.0,top
Q1,96.75,-91.0,90.0,top
R1,101.0,-76.0,0.0,top
R2,101.0,-78.0,180.0,top
R3,101.0,-80.0,180.0,top
R4,102.0,-96.0,270.0,top
R5,97.5,-88.0,0.0,top
R6,101.0,-88.0,0.0,top
R7,101.75,-90.5,90.0,top
R8,117.25,-96.0,270.0,top
TP1,99.75,-90.75,0.0,top
TP2,101.75,-74.25,0.0,top
TP3,104.5,-81.75,0.0,top
U1,98.0,-72.0,90.0,top
U2,99.5,-84.0,270.0,top
